Name,OD_in,ID_in,Weight_lbft,Grade,UNS_Code,Material,Connection,Yield_psi,Burst_psi
2-3/8" H40 (4.0#),2.375,2.041,4.00,H40,K04000,Carbon Steel,API NUE,40000,5870
2-3/8" J-55 (4.6#),2.375,1.995,4.60,J-55,K05500,Carbon Steel,API EUE,55000,7700
2-3/8" J-55 (4.7#),2.375,1.995,4.70,J-55,K05500,Carbon Steel,API NUE,55000,7700
2-3/8" K-55 (4.6#),2.375,1.995,4.60,K-55,K05501,Carbon Steel,API EUE,55000,7700
2-3/8" M65 (4.6#),2.375,1.995,4.60,M65,K06500,Carbon Steel,API EUE,65000,9100
2-3/8" C75 (4.6#),2.375,1.995,4.60,C75,K07500,NACE Carbon Steel,API EUE,75000,10500
2-3/8" L80-1 (4.6#),2.375,1.995,4.60,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,11200
2-3/8" L80-13Cr (4.6#),2.375,1.995,4.60,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,11200
2-3/8" S13Cr-110 (4.6#),2.375,1.995,4.60,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,14530
2-3/8" 22Cr-110 (4.6#),2.375,1.995,4.60,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,14530
2-3/8" 25Cr-125 (4.6#),2.375,1.995,4.60,25Cr-125,S32750,Super Duplex CRA,Premium (VAM Top),125000,16500
2-3/8" N80 (4.6#),2.375,1.995,4.60,N80,K08001,Carbon Steel,API EUE,80000,11200
2-3/8" C95 (4.6#),2.375,1.995,4.60,C95,K09500,Controlled Yield Steel,API EUE,95000,13300
2-3/8" T95 (4.6#),2.375,1.995,4.60,T95,K09501,NACE Carbon Steel,API EUE,95000,13300
2-3/8" P110 (4.6#),2.375,1.995,4.60,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,14530
2-3/8" Q125 (4.6#),2.375,1.995,4.60,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,16500
2-3/8" J-55 (5.8#),2.375,1.867,5.80,J-55,K05500,Carbon Steel,API EUE,55000,9960
2-3/8" L80-1 (5.8#),2.375,1.867,5.80,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,14480
2-3/8" L80-13Cr (5.8#),2.375,1.867,5.80,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,14480
2-3/8" S13Cr-110 (5.8#),2.375,1.867,5.80,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,19910
2-3/8" 22Cr-110 (5.8#),2.375,1.867,5.80,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,19910
2-3/8" P110 (5.8#),2.375,1.867,5.80,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,19910
2-7/8" H40 (5.8#),2.875,2.441,5.80,H40,K04000,Carbon Steel,API NUE,40000,5280
2-7/8" J-55 (6.4#),2.875,2.441,6.40,J-55,K05500,Carbon Steel,API NUE,55000,7260
2-7/8" J-55 (6.5#),2.875,2.441,6.50,J-55,K05500,Carbon Steel,API EUE,55000,7260
2-7/8" K-55 (6.5#),2.875,2.441,6.50,K-55,K05501,Carbon Steel,API EUE,55000,7260
